County,Cases,Reported_Deaths,Date
Unknown,84,2,"2020-04-10"
Out of State,137,1,"2020-04-10"
Allegan,19,,"2020-04-11"
Alpena,1,,"2020-04-11"
Antrim,7,,"2020-04-11"
Arenac,4,,"2020-04-11"
Barry,8,,"2020-04-11"
Bay,53,,"2020-04-11"
Berrien,94,3,"2020-04-11"
Branch,26,2,"2020-04-11"
Calhoun,71,1,"2020-04-11"
Cass,12,1,"2020-04-11"
Charlevoix,11,,"2020-04-11"
Cheboygan,11,1,"2020-04-11"
Clare,4,1,"2020-04-11"
Clinton,90,3,"2020-04-11"
Crawford,8,1,"2020-04-11"
Delta,9,1,"2020-04-11"
Detroit City,6386,348,"2020-04-11"
Dickinson,3,2,"2020-04-11"
Eaton,71,4,"2020-04-11"
Emmet,21,2,"2020-04-11"
Genesee,919,62,"2020-04-11"
Gladwin,4,,"2020-04-11"
Gogebic,4,1,"2020-04-11"
Grand Traverse,17,3,"2020-04-11"
Gratiot,7,,"2020-04-11"
Hillsdale,75,6,"2020-04-11"
Houghton,1,,"2020-04-11"
Huron,5,,"2020-04-11"
Ingham,241,3,"2020-04-11"
Ionia,14,2,"2020-04-11"
Iosco,5,1,"2020-04-11"
Isabella,38,3,"2020-04-11"
Jackson,152,4,"2020-04-11"
Kalamazoo,79,7,"2020-04-11"
Kalkaska,13,2,"2020-04-11"
Kent,270,13,"2020-04-11"
Lake,1,,"2020-04-11"
Lapeer,95,6,"2020-04-11"
Leelanau,4,,"2020-04-11"
Lenawee,43,,"2020-04-11"
Livingston,206,3,"2020-04-11"
Luce,1,,"2020-04-11"
Mackinac,4,,"2020-04-11"
Macomb,3164,209,"2020-04-11"
Manistee,9,,"2020-04-11"
Marquette,21,2,"2020-04-11"
Mason,2,,"2020-04-11"
Mecosta,11,1,"2020-04-11"
Menominee,1,,"2020-04-11"
Midland,30,1,"2020-04-11"
Missaukee,1,1,"2020-04-11"
Monroe,183,5,"2020-04-11"
Montcalm,21,1,"2020-04-11"
Muskegon,57,4,"2020-04-11"
Newaygo,6,,"2020-04-11"
Oakland,4802,316,"2020-04-11"
Oceana,3,1,"2020-04-11"
Ogemaw,4,,"2020-04-11"
Osceola,4,,"2020-04-11"
Oscoda,4,,"2020-04-11"
Otsego,31,2,"2020-04-11"
Ottawa,64,2,"2020-04-11"
Presque Isle,2,,"2020-04-11"
Roscommon,8,,"2020-04-11"
Saginaw,254,9,"2020-04-11"
Sanilac,23,2,"2020-04-11"
Schoolcraft,2,,"2020-04-11"
Shiawassee,37,,"2020-04-11"
St Clair,190,4,"2020-04-11"
St Joseph,20,,"2020-04-11"
Tuscola,40,6,"2020-04-11"
Van Buren,21,1,"2020-04-11"
Washtenaw,685,18,"2020-04-11"
Wayne,4565,304,"2020-04-11"
Wexford,7,1,"2020-04-11"
MDOC*,364,8,"2020-04-11"
FCI**,24,,"2020-04-11"
Unknown,86,7,"2020-04-11"
Out of State,140,1,"2020-04-11"
Allegan,21,,"2020-04-12"
Alpena,1,,"2020-04-12"
Antrim,8,,"2020-04-12"
Arenac,5,,"2020-04-12"
Barry,8,,"2020-04-12"
Bay,54,2,"2020-04-12"
Berrien,104,4,"2020-04-12"
Branch,27,2,"2020-04-12"
Calhoun,74,1,"2020-04-12"
Cass,11,1,"2020-04-12"
Charlevoix,11,,"2020-04-12"
Cheboygan,10,1,"2020-04-12"
Clare,4,1,"2020-04-12"
Clinton,91,3,"2020-04-12"
Crawford,12,1,"2020-04-12"
Delta,9,1,"2020-04-12"
Detroit City,6502,368,"2020-04-12"
Dickinson,3,2,"2020-04-12"
